Section,Description,Value,Source
Key Evidence,Total fraud losses for Americans aged 60+ in 2023,$3.4 billion,FBI IC3 2023 Elder Fraud Report
Key Evidence,Total fraud losses for Americans aged 60+ in 2024,$4.9 billion (44% increase YoY),FBI IC3 2024 Elder Fraud Report
Key Evidence,Total fraud losses in the US in 2024,$12.5 billion (25% increase YoY),FTC / AARP 2024
Key Evidence,Number of victims aged 60+ who filed complaints in 2023,101000+ (14% increase YoY),FBI IC3 2023
Key Evidence,Average loss per elder fraud victim in 2023,$33915,FBI IC3 2023
Key Evidence,Tech support scam complaints from victims aged 60+ in 2023,Nearly 18000 (most reported scam type),FBI IC3 2023
Key Evidence,Investment scam losses for victims aged 60+ in 2023,$1.2 billion+ (costliest scam type),FBI IC3 2023
Key Evidence,Government impersonation scam losses growth in 2024,$171M to $789M (361% increase),FTC 2024
Segment 2: Low-income,Median loss for victims aged 70+ vs those in their 20s,$1000 vs $417 (nearly 2x higher for older adults),FTC / AARP 2024
Segment 3: Less-educated,Online fraud losses for less-educated adults aged 55+,Nearly double that of younger people (UK data),Frontiers in Psychology 2022
Segment 3: Less-educated,Percentage of participants with adequate digital literacy,Only 46.3%,MDPI Informatics 2024 (Thailand study)
Segment 3: Less-educated,Percentage of participants who experienced fraud,75.3%,MDPI Informatics 2024 (Thailand study)
Segment 1: Living alone,Loneliness and fraud victimization correlation,Higher loneliness significantly linked to more fraud incidents,Boston College CRR / USC Research
Segment 1: Living alone,Fraud risk: elderly living alone vs in retirement communities,Elderly living alone face higher risk,FINRA Foundation 2025
Segment 1: Living alone,Protective effect of social connectedness,Social connections reduce vulnerability to phishing and investment scams,USC Research
