适用板块,数据内容,数值,来源
Key Evidence,2023年60岁以上美国人诈骗损失总额,$3.4 billion,FBI IC3 2023 Elder Fraud Report
Key Evidence,2024年60岁以上美国人诈骗损失总额,$4.9 billion（同比增长44%）,FBI IC3 2024 Elder Fraud Report
Key Evidence,2024年全美诈骗总损失,$12.5 billion（同比增长25%）,FTC / AARP 2024
Key Evidence,2023年60岁以上受害者投诉数量,101000+人（同比增长14%）,FBI IC3 2023
Key Evidence,2023年老年诈骗受害者人均损失,$33915,FBI IC3 2023
Key Evidence,2023年技术支持诈骗投诉数（60岁以上）,近18000起（投诉量最高类型）,FBI IC3 2023
Key Evidence,2023年投资诈骗损失（60岁以上）,$1.2 billion+（损失最高类型）,FBI IC3 2023
Key Evidence,2024年政府冒充诈骗损失增长,$171M→$789M（增长361%）,FTC 2024
Segment 2: Low-income,70岁以上受害者中位损失 vs 20多岁,$1000 vs $417（老年人近2倍）,FTC / AARP 2024
Segment 3: Less-educated,55岁以上低教育人群在线诈骗损失对比,几乎是年轻人的2倍（英国数据）,Frontiers in Psychology 2022
Segment 3: Less-educated,数字素养充足的参与者比例,仅46.3%,MDPI Informatics 2024（泰国研究）
Segment 3: Less-educated,经历过诈骗的参与者比例,75.3%,MDPI Informatics 2024（泰国研究）
Segment 1: Living alone,孤独感与诈骗受害关联,孤独感越高受骗次数显著增多,Boston College CRR / USC研究
Segment 1: Living alone,独居老人 vs 养老社区老人诈骗风险,独居老人风险更高,FINRA Foundation 2025
Segment 1: Living alone,社交联系的保护作用,社交联系可降低钓鱼和投资骗局等受害率,USC研究
